DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.2,37.3,294.394,4.8304,1,2,9,2,31,2,22,20,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CC#N)cc2C)c(O)c1,-8.3,61.09,319.404,4.58806,1,3,9,2,31,2,21,21,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CCC(=O)O)cc2C)c(O)c1,-8.2,74.6,352.43,4.53918,2,4,11,2,36,3,24,22,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(N)cc2C)c(O)c1,-7.6,63.32,295.382,4.10418,2,3,9,2,30,2,21,19,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CCl)cc2C)c(O)c1,-7.9,37.3,328.839,5.26078,1,2,9,2,31,2,21,20,0,2,0
Cc1cc(C(F)(F)F)cc(C)c1C=CC(=O)c1c(C)cc(-c2ccccc2)cc1O,-9.9,37.3,410.435,6.89936,1,2,8,3,33,2,21,25,0,2,3
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccco3)cc2C)c(O)c1,-8.9,50.44,346.426,5.78198,1,3,9,3,31,2,22,23,0,3,0
Cc1cc(C)c(NC2Cc3cc(-c4cc(C)c(C=CC(=O)c5c(C)cc(C)cc5O)c(C)c4)ccc3C2=O)c(C)c1,-11.0,66.4,543.707,8.33374,2,4,14,4,55,3,37,37,1,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(F)(F)F)cc2C)c(O)c1,-8.4,37.3,348.364,5.54078,1,2,8,2,31,2,19,20,0,2,3
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccccc3)cc2C)c(O)c1,-8.3,37.3,356.465,6.18898,1,2,9,3,33,2,24,25,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C#N)cc3)cc2C)c(O)c1,-9.8,61.09,381.475,6.06066,1,3,9,3,33,2,23,26,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccccc3F)cc2C)c(O)c1,-9.3,37.3,374.455,6.32808,1,2,9,3,33,2,23,25,0,2,1
CC=Cc1cc(C)cc(-c2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)c1O,-9.7,57.53,426.556,7.2361,2,3,13,3,43,3,30,29,0,3,0
CCOC(=O)C=Cc1ccc(-c2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)cc1,-9.2,63.6,454.566,6.76528,1,4,13,3,44,4,30,30,0,4,0
Cc1cccc(-c2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)c1,-9.2,37.3,370.492,6.4974,1,2,10,3,36,2,26,26,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CN3C(=O)c4ccccc4C3=O)cc2C)c(O)c1,-9.3,74.68,439.511,5.31818,1,4,10,3,39,4,25,28,1,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(O)c(C(=O)O)c3)cc2C)c(O)c1,-9.3,94.83,416.473,5.59278,3,5,11,3,36,3,24,26,0,5,0
CCc1cc(C)c(C(=O)C=Cc2c(C)cc(C)cc2C)c(O)c1,-7.5,37.3,308.421,5.08438,1,2,10,2,34,2,24,21,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(F)c(C=CC(=O)O)c3)cc2C)c(O)c1,-9.7,74.6,444.502,6.42588,2,4,11,3,38,4,25,28,0,4,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CC(=O)c3ccc(F)cc3)cc2C)c(O)c1,-9.1,54.37,416.492,6.08648,1,3,11,3,37,3,25,27,0,3,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccccc3Cl)cc2C)c(O)c1,-9.1,37.3,390.91,6.84238,1,2,9,3,33,2,23,25,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccccc3)cc2C)c(O)c1,-9.5,37.3,382.503,6.69238,1,2,10,3,36,3,26,27,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C#CCO)cc2C)c(O)c1,-7.4,57.53,334.415,3.86578,2,3,9,2,33,2,22,22,0,3,0
CC(CCl)=NN=CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.3,62.02,410.945,5.74998,1,4,13,2,41,4,27,24,2,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CC(=O)O)cc2C)c(O)c1,-8.1,74.6,338.403,4.14908,2,4,10,2,33,3,22,21,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(F)F)cc2C)c(O)c1,-8.2,37.3,330.374,5.45958,1,2,9,2,31,2,20,20,0,2,2
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cc(C)ccc3O)cc2C)c(O)c1,-10.2,57.53,386.491,6.203,2,3,11,3,37,2,26,26,0,3,0
Cc1cc(C)c(C=CC(=O)c2c(O)cc(C)cc2C(C)C)c(C)c1,-7.9,37.3,322.448,5.64538,1,2,11,2,37,2,26,22,0,2,0
Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(N)c1,-8.3,63.32,295.382,4.10418,2,3,9,2,30,2,21,19,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3c(F)c(F)c(F)c(F)c3F)cc2C)c(O)c1,-8.8,37.3,446.415,6.88448,1,2,9,3,33,2,19,25,0,2,5
CCOC(=O)C=Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.9,63.6,378.468,5.09828,1,4,12,2,39,4,26,24,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(F)cc3)cc2C)c(O)c1,-9.4,37.3,374.455,6.32808,1,2,9,3,33,2,23,25,0,2,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(Cl)c(C=O)c3F)cc2C)c(O)c1,-8.7,54.37,436.91,6.79398,1,3,10,3,34,3,22,26,0,3,1
CC(C)=CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.8,37.3,348.486,6.03068,1,2,12,2,40,3,28,24,0,2,0
CNc1cc(C)cc(O)c1C(=O)C=Cc1c(C)cc(C)cc1C,-8.2,49.33,309.409,4.56368,2,3,10,2,33,2,23,20,1,2,0
COC(=O)CNc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.3,75.63,367.445,4.10688,2,5,12,2,38,3,25,22,1,4,0
Cc1ccc(C#Cc2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)cc1,-9.3,37.3,394.514,6.2302,1,2,9,3,37,2,26,28,0,2,0
COC(=O)CCc1cc(C)cc(C)c1C=CC(=O)c1c(C)cc(C)cc1O,-8.7,63.6,366.457,4.62758,1,4,12,2,39,3,26,23,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(Cl)cc3)cc2C)c(O)c1,-9.3,37.3,390.91,6.84238,1,2,9,3,33,2,23,25,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(O)(C#N)CC#N)cc2C)c(O)c1,-7.8,105.11,374.44,4.14684,2,5,11,2,35,2,22,23,2,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CCC#N)cc2C)c(O)c1,-7.9,61.09,333.431,4.97816,1,3,10,2,34,2,23,22,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(N3CCOCC3)cc2C)c(O)c1,-8.2,49.77,365.473,4.35858,1,4,9,2,42,2,27,23,1,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(CC#N)cc3)cc2C)c(O)c1,-9.5,61.09,395.502,6.25506,1,3,10,3,36,2,25,27,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(O)cc3)cc2C)c(O)c1,-9.4,57.53,372.464,5.89458,2,3,10,3,34,2,24,25,0,3,0
CCc1cc(C)cc(O)c1C(=O)C=Cc1c(C)cc(C)cc1C,-7.6,37.3,308.421,5.08438,1,2,10,2,34,2,24,21,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CF)cc2C)c(O)c1,-7.7,37.3,312.384,4.99148,1,2,9,2,31,2,21,20,0,2,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cc(C(=O)C=Cc4ccc(O)cc4)ccc3O)cc2C)c(O)c1,-10.3,94.83,518.609,7.49628,3,5,14,4,44,4,30,34,0,5,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C=C4SC(=O)NC4=O)cc3)cc2C)c(O)c1,-10.0,83.47,483.589,6.51288,2,5,10,3,40,5,25,29,1,4,0
COC(=O)Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.0,63.6,352.43,4.23748,1,4,11,2,36,3,24,22,0,4,0
Cc1ccc(-c2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)cc1,-7.8,37.3,370.492,6.4974,1,2,10,3,36,2,26,26,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(C#N)=CC(=O)O)cc2C)c(O)c1,-8.6,98.39,375.424,4.51356,2,5,10,2,33,4,21,23,1,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cc(C)c(O)c(C4CC4)c3)cc2C)c(O)c1,-8.9,57.53,426.556,7.0804,2,3,12,3,45,2,30,29,0,3,0
C=CCC(C=C)c1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.5,37.3,360.497,6.36768,1,2,12,2,40,4,28,25,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C(=O)O)cc3)cc2C)c(O)c1,-8.5,74.6,400.474,5.88718,2,4,10,3,35,3,24,26,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cccc(C=CC(=O)O)c3)cc2C)c(O)c1,-10.0,74.6,426.512,6.28678,2,4,11,3,38,4,26,28,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(N3CCC4(CC3)OCCO4)cc2C)c(O)c1,-9.7,59.0,421.537,4.86528,1,5,9,2,51,2,31,26,1,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=O)cc2C)c(O)c1,-7.1,54.37,308.377,4.33448,1,3,9,2,29,3,20,20,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(C#N)(CF)c3ccccc3)cc2C)c(O)c1,-8.7,61.09,427.519,6.30116,1,3,11,3,39,2,26,28,1,2,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(NCCC(=O)O)cc2C)c(O)c1,-8.9,86.63,367.445,4.40858,3,5,12,2,38,3,25,22,1,4,0
COC(=O)CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-7.9,63.6,366.457,4.62758,1,4,12,2,39,3,26,23,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccc(C#CCN=Cc4ccc(O)c(O)c4)cc3)cc2C)c(O)c1,-9.7,90.12,555.674,7.57418,3,5,14,4,49,4,33,37,1,4,0
CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.0,37.3,308.421,5.08438,1,2,10,2,34,2,24,21,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(C#N)CO)cc2C)c(O)c1,-7.7,81.32,349.43,4.12146,2,4,11,2,35,2,23,22,1,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccc(O)cc3)cc2C)c(O)c1,-9.4,57.53,398.502,6.39798,2,3,11,3,37,3,26,27,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(NCC(O)CO)cc2C)c(O)c1,-7.9,89.79,369.461,3.28708,4,5,14,2,41,2,27,22,1,4,0
