DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Atazanavir,-7.5,171.0,704.9,5.6,5,9,18,2,92,13,52,38,6,7,0
BaloxavirMarboxil,-8.2,123.0,571.6,3.8,0,12,6,2,57,11,23,27,3,7,2
Boceprevir,-8.5,151.0,519.7,3.1,4,5,10,0,79,5,45,27,5,5,0
Cobicistat,-8.4,195.0,776.0,5.7,3,10,20,2,98,13,40,40,7,5,0
Daclatasvir,-9.5,175.0,738.9,5.1,4,8,13,2,95,14,40,40,8,6,0
Doravirine,-8.7,98.0,425.7,2.1,1,8,4,1,33,8,11,17,5,3,3
Dolutegravir,-8.9,99.2,419.4,2.4,2,8,3,1,44,8,19,20,3,5,2
Elvitegravir,-7.3,87.1,447.9,5.3,2,7,7,2,47,9,23,23,1,5,1
Entecavir,-7.7,126.0,277.8,-1.3,4,5,2,0,32,5,15,12,5,3,0
Famciclovir,-7.3,122.0,321.33,0.0,1,8,9,0,37,6,19,14,5,4,0
Indinavir,-7.9,118.0,613.8,2.8,4,7,12,2,85,11,47,36,5,4,0
Inosine,-7.6,129.0,268.23,-1.3,4,7,2,0,29,4,12,10,4,5,0
Letermovir,-7.9,77.8,572.5,4.6,1,10,7,3,62,11,28,29,4,4,4
Nelfinavir,-9.1,127.0,567.8,5.7,4,6,10,2,79,8,45,32,3,4,0
Maraviroc,-8.1,63.0,513.7,5.1,1,6,8,1,76,6,41,29,5,1,2
Norvir,-8.0,202.0,720.9,6.0,4,9,18,2,85,13,48,37,6,5,0
Pleconaril,-7.9,74.2,381.3,4.6,0,9,6,1,40,7,18,18,3,3,3
Nevirapine,-7.4,58.1,266.3,2.0,1,4,1,2,30,7,14,15,4,1,0
Peramivir,-7.3,151.0,328.41,0.0,5,5,7,0,48,3,28,15,4,4,0
Podofilox,-7.3,92.7,414.4,2.0,1,8,4,2,49,7,22,22,0,8,0
Raltegravir,-9.7,150.0,444.4,1.1,3,9,6,1,45,10,21,20,6,5,1
Remdesivir,-7.2,204.0,602.6,1.9,4,13,14,1,69,9,35,27,6,8,0
Rilpivirine,-8.1,97.4,366.4,4.5,2,6,5,3,36,10,18,22,6,0,0
Ritonavir,-7.5,202.0,720.9,6.0,4,9,18,2,85,13,48,37,6,5,0
Saquinavir,-8.4,167.0,670.8,4.2,5,7,13,3,89,12,50,38,6,5,0
Simeprevir,-9.3,194.0,749.9,4.8,2,10,8,1,92,12,47,38,5,7,0
Telaprevir,-8.4,180.0,679.8,4.2,4,8,14,1,97,9,53,36,7,6,0
Tipranavir,-8.1,114.0,602.7,7.0,2,10,11,3,65,13,32,31,2,5,3
Valganciclovir,-7.5,167.0,354.36,-1.5,4,8,9,0,43,5,22,14,6,5,0
