DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
B1(OC(C(O1)(C)C)(C)C)c2cnc(nc2)C#N,7.00436480540245,68.03,231.064,0.6474799999999998,0,5,1,1,11,0,14,11,3,2,0
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)S[Au])O)O)O)O,7.00436480540245,90.15,392.183,-2.0187,4,6,2,0,13,0,11,6,0,5,0
C1CN(CCN1C(=O)CCl)S(=O)(=O)C2=CCS=C2,9.314782808408731,57.690000000000005,310.82800000000003,-0.13559999999999944,1,3,3,0,14,5,15,10,2,3,0
C=CC(=O)N(c1ccc(cc1)C(F)(F)F)C(c2cc(cnc2)C#N)C(=O)NCCc3cccc(c3)F,8.521096932731906,86.09,496.4640000000002,4.730380000000004,1,4,8,3,16,3,20,26,4,2,4
C=CC(=O)N(c1ccc(cc1)C(F)(F)F)C(c2cc(cnc2)Cl)C(=O)NCCc3cccc(c3)F,8.314929708403117,62.300000000000004,505.8990000000002,5.512100000000005,1,3,8,3,16,3,20,25,3,2,4
C=CC(=O)N(c1ccc(cc1)C(F)(F)F)C(c2cc(cnc2)O)C(=O)NCCc3cccc(c3)F,7.761046488562637,82.53,487.4530000000002,4.564300000000003,2,4,8,3,16,3,21,25,3,3,4
C=CC(=O)N(c1ccc(cc1)C(F)(F)F)C(c2cccnc2)C(=O)NCCc3cccc(c3)F,8.213464227803739,62.300000000000004,471.4540000000002,4.858700000000004,1,3,8,3,15,3,21,25,3,2,4
C=CC(=O)N(c1ccc(cc1)I)C(c2cncnc2)C(=O)Nc3ccc(cc3)Cl,8.560289809854556,75.19,518.7420000000002,4.633600000000002,1,4,6,3,10,3,16,21,4,2,0
C=CC(=O)N(c1cncc2c1cccc2)C(=O)[C@@H]3CCOc4c3cc(cc4)Cl,9.125525131805192,59.5,392.8420000000001,4.500100000000003,0,4,3,3,11,3,17,22,2,3,0
C=CC(=O)N(c1cncc2c1cccc2)C(=O)[C@H]3CCOc4c3cc(cc4)Cl,8.821650682171224,59.5,392.8420000000001,4.500100000000003,0,4,3,3,11,3,17,22,2,3,0
C=CC(=O)NCC(=O)N(CCN1CCOCC1)Cc2c(ccs2)Br,7.00436480540245,61.88000000000001,416.34099999999995,1.4736,1,5,8,1,17,3,22,16,3,3,0
